own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
219347000;258271000;11.409413194444443;9.351635416666667;1386.5909418426193;1386.5909418426193;1314.799121539103;-2.0;0.0
259955000;257040600;14.397554563492063;4.784448164682539;3185.430338274564;3185.430338274564;695.5582002967119;-2.0;0.0
255805917;257002270;6.263260633680556;2.707364366319445;1311.612145414948;1311.612145414948;294.5142611148141;-2.0;0.0
258352500;257461000;16.41499782986111;5.556401909722222;1450.1090614157272;1450.1090614157272;204.79113750355995;-2.0;15.0
219347000;257171220;11.4303125;3.261497395833333;3585.043165709439;3585.043165709439;1289.222063881936;-2.0;0.0
257461000;257356400;5.16534375;2.818994791666667;296.5766342785717;593.4883402393009;160.51180641934127;-2.0;12.0
258104000;257002270;5.386535947712419;2.8686897467320263;634.7496278061137;1558.5605923415408;235.9515628259277;-2.0;0.0
258104000;257002270;5.463560763888889;2.9423810763888887;627.6792572644089;627.6792572644089;228.5226028208174;-2.0;0.0
258352500;259827000;15.184149305555556;4.961862599206349;4219.861639911909;2774.0341310084887;293.3637332732166;-2.0;16.0
258031000;258407000;5.805719907407408;4.685195601851851;685.1011385189701;1035.5005408014097;163.24267211731248;-2.0;0.0
258593000;258844000;14.951041666666669;7.105763888888889;3691.535004574652;3691.535004574652;2045.5431772514576;-2.0;0.0
259344000;257256000;9.018854166666667;3.9357009548611113;3218.554016946119;2664.265243927479;1910.896386516022;-2.0;11.0
